Module	Gene1	Gene2
M3	HRH3	TFAP2A
M3	HRH3	REV1
M3	HRH3	RHEB
M3	HRH3	DHDDS
M3	HRH3	AZI2
M3	HRH3	NAA16
M3	HRH3	PDX1
M3	HRH3	DET1
M3	HRH3	F10
M3	HRH3	FAIM2
M3	HRH3	DOCK9
M3	HRH3	FBXL13
M3	HRH3	TAF1A
M3	HRH3	DOK2
M3	HRH3	FCER1G
M3	HRH3	RMDN1
M3	HRH3	LARP1
M3	HRH3	HRK
M3	HRH3	CLTA
M3	HRH3	GRIN1
M3	HRH3	DBF4
M3	HRH3	RGS17
M3	HRH3	TRIM29
